Gene_ID	GO_ID
LG10g329	GO:0005515,GO:0046872,GO:0005634,GO:0042054
LG10g331	GO:0043022
LG10g332	GO:0043022
LG10g348	GO:0046961,GO:0033179,GO:1902600
LG10g349	GO:0003723,GO:0008289
LG10g350	GO:0005515
LG10g351	GO:0016791,GO:0046856
LG10g352	GO:0004478,GO:0006556
LG10g353	GO:0006629
LG10g359	GO:0016641,GO:0005507
LG10g360	GO:0035091
LG10g362	GO:0005515
LG10g364	GO:0016670,GO:0030328
LG10g374	GO:0016020,GO:0055085,GO:0022857
LG10g376	GO:0016020,GO:0055085,GO:0022857
LG10g378	GO:0035556
LG10g379	GO:0004017
LG10g38	GO:0003676,GO:0005524
LG10g382	GO:0003676,GO:0008408,GO:0006139
LG10g383	GO:0005515
LG10g385	GO:0004867
LG10g392	GO:0005507,GO:0004497,GO:0016715
LG10g396	GO:0005737,GO:0034227
LG10g397	GO:0007264,GO:0005085
LG10g40	GO:0005524
LG10g405	GO:0046872
LG10g410	GO:0003677
LG10g412	GO:0003723
LG10g414	GO:0005544,GO:0005509
LG10g415	GO:0016020
LG10g416	GO:0016020
LG10g417	GO:0016020,GO:0038023
LG10g42	GO:0003723
LG10g420	GO:0007264,GO:0005085
LG10g422	GO:0005515,GO:0035091
LG10g423	GO:0005525,GO:0003924
LG10g424	GO:0005515
LG10g425	GO:0006777
LG10g433	GO:0003677
LG10g434	GO:0070273
LG10g443	GO:0007186,GO:0016020,GO:0004930
LG10g449	GO:0032580,GO:0008376
LG10g452	GO:0003676,GO:0005524
LG10g454	GO:0003676,GO:0005524
LG10g459	GO:0023041,GO:0030867
LG10g461	GO:0005216,GO:0055085,GO:0016020,GO:0006811
LG10g467	GO:0006468,GO:0005524,GO:0004672
LG10g468	GO:0004674
LG10g47	GO:0016020,GO:0043085,GO:0016485
LG10g470	GO:0007165
LG10g471	GO:0005509
LG10g473	GO:0007156,GO:0005509,GO:0016020
LG10g476	GO:0046983
LG10g480	GO:0005515,GO:0005216,GO:0055085,GO:0016020,GO:0006811
LG10g481	GO:0005515,GO:0046983
LG10g482	GO:0008083
LG10g483	GO:0007156,GO:0005509,GO:0016020
LG10g484	GO:0007156,GO:0005509,GO:0016020
LG10g486	GO:0007156,GO:0005509,GO:0016020
LG10g487	GO:0007156,GO:0005509,GO:0016020
LG10g489	GO:0007156,GO:0005509,GO:0016020
LG10g49	GO:0003779
LG10g490	GO:0007156,GO:0005509,GO:0016020
LG10g491	GO:0007156,GO:0005509,GO:0016020
LG10g492	GO:0007156,GO:0005509,GO:0016020
LG10g494	GO:0007156,GO:0005509,GO:0016020
LG10g495	GO:0007156,GO:0005509,GO:0016020
LG10g497	GO:0007156,GO:0005509,GO:0016020
LG10g499	GO:0007156,GO:0005509,GO:0016020
LG10g50	GO:0005925,GO:0005200,GO:0001726
LG10g503	GO:0007186,GO:0016020,GO:0004930
LG10g505	GO:0003950
LG10g509	GO:0005509
LG10g511	GO:0003676
LG10g512	GO:0003677
LG10g514	GO:0008194
LG10g516	GO:0004860
LG10g517	GO:0016020
LG10g518	GO:0008083
LG10g520	GO:0005179,GO:0005576
LG10g521	GO:0016787,GO:0003676,GO:0046872
LG10g522	GO:0016787,GO:0003676,GO:0046872
LG10g523	GO:0005515
LG10g525	GO:0016020
LG10g534	GO:0005515
LG10g540	GO:0003712,GO:0006357,GO:0016592
LG10g544	GO:0007186,GO:0016020,GO:0004930
LG10g545	GO:0050661,GO:0004499,GO:0050660
LG10g549	GO:0005515
LG10g559	GO:0005975,GO:0004553,GO:0043169,GO:0003824
LG10g560	GO:0016791,GO:0046856
LG10g561	GO:0016791,GO:0046856
LG10g563	GO:0022857,GO:0055085,GO:0016491,GO:0005507
LG10g564	GO:0008270
LG10g565	GO:0016020,GO:0055085
LG10g573	GO:0032266,GO:0043130
LG10g576	GO:0005216,GO:0055085,GO:0016020,GO:0006811
LG10g577	GO:0016787
LG10g578	GO:0006468,GO:0004672,GO:0005515
LG10g584	GO:0007186,GO:0016020,GO:0004930
LG10g585	GO:0007156,GO:0005509,GO:0016020
LG10g587	GO:0005515,GO:0061608,GO:0006606
LG10g588	GO:0007186,GO:0004930,GO:0016020
LG10g589	GO:0003924,GO:0005525
LG10g591	GO:0005524
LG10g593	GO:0005515,GO:0006355,GO:0003677
LG10g595	GO:0016020,GO:0015276
LG10g596	GO:0005085,GO:0005515,GO:0007165
LG10g597	GO:0006801,GO:0046872
LG10g598	GO:0003723
LG10g599	GO:0008194
LG10g60	GO:0005515
LG10g600	GO:0005515,GO:0005216,GO:0055085,GO:0016020,GO:0006811
LG10g601	GO:0071569
LG10g602	GO:0016020,GO:0007154
LG10g603	GO:0008270,GO:0005515
LG10g604	GO:0008270,GO:0005515
LG10g607	GO:0019904
LG10g609	GO:0007156,GO:0005509,GO:0016020
LG10g610	GO:0022857,GO:0055085
LG10g611	GO:0016791
LG10g612	GO:0016791,GO:0046856
LG10g615	GO:0006812,GO:0016020,GO:1902600,GO:0055085,GO:0015297
LG10g617	GO:0003723,GO:0004930,GO:0016020,GO:0007186
LG10g618	GO:0003723
LG10g619	GO:0006355,GO:0005634
LG10g62	GO:0016491
LG10g620	GO:0007186,GO:0016020,GO:0004930
LG10g621	GO:0008083
LG10g622	GO:0008083
LG10g623	GO:0005509,GO:0005576,GO:0006508,GO:0004252
LG10g624	GO:0005085
LG10g628	GO:0005515,GO:0003924,GO:0005525
LG10g631	GO:0016126,GO:0016020,GO:0016628
LG10g632	GO:0005840,GO:0006412,GO:0003735
LG10g633	GO:0005515,GO:0003735,GO:0005840,GO:0006412
LG10g634	GO:0034551
LG10g635	GO:0016192
LG10g638	GO:0005515
LG10g648	GO:0003712,GO:0006357,GO:0016592,GO:0032039
LG10g651	GO:0006468,GO:0005524,GO:0004672,GO:0004674
LG10g654	GO:0004045
LG10g656	GO:0030130,GO:0005198,GO:0016192,GO:0030132,GO:0006886
LG10g662	GO:0007166,GO:0005509,GO:0046872
LG10g670	GO:0005543
LG10g674	GO:0003700,GO:0006355
LG10g678	GO:0005515
LG10g680	GO:0042073
LG10g681	GO:0046872
LG10g683	GO:0016887,GO:0005524,GO:0140662
LG10g685	GO:0003677
LG10g686	GO:0003677
LG10g687	GO:0008270
LG10g689	GO:0016887,GO:0005524,GO:0140662
LG10g69	GO:0008168,GO:0016706
LG10g694	GO:0003677,GO:0016020
LG10g704	GO:0006355,GO:0003677
LG10g708	GO:0005515
LG10g710	GO:0005515
LG10g719	GO:0006886
LG10g720	GO:0006355,GO:0043565,GO:0003700
LG10g729	GO:0005102,GO:0016055,GO:0007275,GO:0005576
LG10g731	GO:0008374
LG10g732	GO:0008374
LG10g734	GO:0005516,GO:0008017,GO:0005874,GO:0000226
LG10g737	GO:0005515
LG10g738	GO:0006914
LG10g741	GO:0008270,GO:0005515
LG10g742	GO:0008270,GO:0003677
LG10g743	GO:0051260
LG10g745	GO:0003677
LG10g746	GO:0003677
LG10g747	GO:0005509
LG10g748	GO:0005515
LG10g750	GO:0005515
LG10g751	GO:0005515
LG10g752	GO:0005515
LG10g754	GO:0016491,GO:0016616
LG10g755	GO:0007165
LG10g757	GO:0016020,GO:0070588,GO:0005262,GO:0005515,GO:0005216,GO:0055085,GO:0006811,GO:0005219,GO:0006874
LG10g759	GO:0003700,GO:0006355,GO:0043565
LG10g760	GO:0003352
LG10g761	GO:0030246
LG10g764	GO:0006468,GO:0005524,GO:0004672
LG10g767	GO:0005515
LG10g769	GO:0007186,GO:0016020,GO:0004930,GO:0005515
LG10g772	GO:0005975,GO:0004553
LG10g773	GO:0005975,GO:0004553
LG10g774	GO:0005975,GO:0004553
LG10g776	GO:0007165,GO:0005515,GO:0008289
LG10g777	GO:0007186,GO:0016020,GO:0004930
LG10g783	GO:0006468,GO:0005524,GO:0004672,GO:0035556
LG10g788	GO:0006355
LG10g794	GO:0006468,GO:0005524,GO:0004672,GO:0005515
LG10g800	GO:0016311
LG10g801	GO:0016020
LG10g802	GO:0016491,GO:0010181
LG10g803	GO:0016020,GO:0004252
LG10g804	GO:0004930,GO:0016020,GO:0007186
LG10g805	GO:0016020,GO:0006811,GO:0005230
LG10g808	GO:0016409
LG10g81	GO:0016020,GO:0055085,GO:0006811,GO:0022857
LG10g812	GO:0005515
LG10g813	GO:0005515
LG10g814	GO:0005515
LG10g817	GO:0004984,GO:0016020,GO:0007186
LG10g818	GO:0004984,GO:0016020,GO:0007186
LG10g819	GO:0004984,GO:0016020,GO:0007186
LG10g821	GO:0016887,GO:0005524
LG10g824	GO:0032183
LG10g825	GO:0016020
LG10g828	GO:0016020,GO:0015293
LG10g83	GO:0005515
LG10g834	GO:0003924,GO:0005525
LG10g836	GO:0005515
LG10g839	GO:0005515
LG10g841	GO:0005515,GO:0003774,GO:0016459,GO:0005524
LG10g845	GO:0043130
LG10g847	GO:0006468,GO:0004672
LG10g848	GO:0043087
LG10g849	GO:0003723
LG10g850	GO:0003723
LG10g853	GO:0008146
LG10g858	GO:0016579,GO:0004843
LG10g862	GO:0005515
LG10g863	GO:0006629,GO:0008081
LG10g865	GO:0016811,GO:0016020,GO:0006672
LG10g866	GO:0006508,GO:0031012,GO:0008270,GO:0004222
LG10g868	GO:0006508,GO:0031012,GO:0008270,GO:0004222
LG10g869	GO:0006508,GO:0031012,GO:0008270,GO:0004222
LG10g871	GO:0006508,GO:0031012,GO:0008270,GO:0004222
LG10g872	GO:0016747
LG10g873	GO:0006508,GO:0004252
LG10g874	GO:0005515
LG10g876	GO:0031492,GO:0005634,GO:0000785
LG10g877	GO:0004222,GO:0006508
LG10g880	GO:0022857,GO:0055085
LG10g882	GO:0015018,GO:0016020
LG10g885	GO:0016020
LG10g888	GO:0000290,GO:0016787
LG10g890	GO:0005179,GO:0005576
LG10g899	GO:0005096
LG10g901	GO:0120009,GO:0120013,GO:0005737
LG10g903	GO:0003677,GO:0006275
LG10g906	GO:0008270,GO:0005515
LG10g907	GO:0006508,GO:0004222
LG10g909	GO:0007186,GO:0016020,GO:0004930
LG10g91	GO:0006084,GO:0004421,GO:0010142
LG10g911	GO:0038023,GO:0016020
LG10g914	GO:0006468,GO:0005524,GO:0004672
LG10g915	GO:0005544,GO:0005509
LG10g916	GO:0007186,GO:0016020,GO:0004930
LG10g919	GO:0016746
LG10g920	GO:0005509
LG10g927	GO:0005515
LG10g928	GO:0005515,GO:0008270,GO:0003677
LG10g93	GO:0006468,GO:0005524,GO:0004672,GO:0008270
LG10g931	GO:0016020
LG10g932	GO:0003924,GO:0005525
LG10g933	GO:0003723
LG10g934	GO:0005515
LG10g937	GO:0005515
LG10g939	GO:0005515,GO:0008237,GO:0008233
LG10g940	GO:0006508,GO:0004197
LG10g941	GO:0006508,GO:0004197
LG10g943	GO:0005515,GO:0003779
LG10g944	GO:0005740,GO:0006123
LG10g946	GO:0007186,GO:0016020,GO:0004930
LG10g947	GO:0008270
LG10g95	GO:0005515
LG10g950	GO:0051260
LG10g956	GO:0006468,GO:0004672
LG10g957	GO:0005576,GO:0005179
LG10g958	GO:0005515,GO:0003924,GO:0005525
LG10g959	GO:0006468,GO:0005524,GO:0004672
LG10g96	GO:0005515
LG10g962	GO:0003924,GO:0005525
LG10g964	GO:0007186,GO:0016020,GO:0004930
LG10g965	GO:0008270,GO:0003676
LG10g966	GO:0008289
LG10g968	GO:0019787
LG10g97	GO:0005507,GO:0004497,GO:0016715,GO:0005515
LG10g972	GO:0007155,GO:0005540
LG10g974	GO:0005515,GO:0043087
LG10g977	GO:0046983,GO:0003677
LG10g98	GO:0008373,GO:0006486
LG10g980	GO:0005509
LG10g982	GO:0008270,GO:0003700,GO:0006355,GO:0043565
LG10g983	GO:0007165,GO:0005515
LG10g985	GO:0005525
LG10g986	GO:0016020
LG10g987	GO:0016627,GO:0050660
LG10g99	GO:0005515
LG10g990	GO:0006468,GO:0005524,GO:0004672
LG10g992	GO:0003774,GO:0016459,GO:0005524
LG10g996	GO:0005515
LG10g997	GO:0005515
LG10g998	GO:0005515
LG10g999	GO:0016020
LG111g3	GO:0005515
LG115g1	GO:0005515,GO:0007165
LG11g1	GO:0003677
LG11g10	GO:0005525
LG11g1000	GO:0005515,GO:0005737
LG11g1002	GO:0003677
LG11g1007	GO:0016747,GO:0005739,GO:0047961
LG11g1008	GO:0004869
LG11g101	GO:0006508,GO:0004252
LG11g1010	GO:0005525
LG11g1011	GO:0005741,GO:0008053,GO:0016020,GO:0003924
LG11g1012	GO:0005515
LG11g1014	GO:0051015
LG11g1015	GO:0016020
LG11g1016	GO:0006821,GO:0055085,GO:0015108,GO:0016020
LG11g1017	GO:0006821,GO:0055085,GO:0015108,GO:0016020
LG11g102	GO:0006508,GO:0004252
LG11g103	GO:0004860
LG11g1036	GO:0008083
LG11g1038	GO:0003924,GO:0005525
LG11g1039	GO:0016020
LG11g104	GO:0003676,GO:0005524
LG11g1040	GO:0016020
LG11g1041	GO:0016020
LG11g1042	GO:0005337,GO:1901642,GO:0016020
LG11g1043	GO:0005576,GO:0005179
LG11g1044	GO:0008146
LG11g1047	GO:0006355,GO:0043565,GO:0003700
LG11g1055	GO:0005515
LG11g1057	GO:0005515
LG11g106	GO:0005737,GO:0005515
LG11g1060	GO:0007156,GO:0005509,GO:0016020
LG11g1063	GO:0005525,GO:0003924
LG11g1067	GO:0003723
LG11g1069	GO:0003723
LG11g107	GO:0005096,GO:0005515
LG11g1071	GO:0007264,GO:0005085
LG11g1072	GO:0016887,GO:0005524
LG11g108	GO:0006468,GO:0005524,GO:0004672
LG11g1092	GO:0016020
LG11g1095	GO:0016020
LG11g1099	GO:0016020
LG11g110	GO:0016758,GO:0016020,GO:0006486
LG11g1100	GO:0005524,GO:0004797
LG11g1101	GO:0016787
LG11g1104	GO:0003723
LG11g1107	GO:0046540,GO:0000398
LG11g1108	GO:0006096,GO:0003872
LG11g1109	GO:0006096,GO:0003872
LG11g111	GO:0006468,GO:0005524,GO:0004672
LG11g1110	GO:0006096,GO:0003872
LG11g1111	GO:0003676,GO:0005524
LG11g112	GO:0006468,GO:0005524,GO:0004672
LG11g114	GO:0008017,GO:0007018,GO:0003777,GO:0005524
LG11g115	GO:0008017,GO:0007018,GO:0003777,GO:0005524
LG11g116	GO:0005515
LG11g124	GO:0003723
LG11g126	GO:0008270,GO:0003700,GO:0006355,GO:0043565
LG11g130	GO:0008270,GO:0003700,GO:0006355,GO:0043565
LG11g131	GO:0003677
LG11g133	GO:0003677
LG11g134	GO:0003677
LG11g136	GO:0003723
LG11g142	GO:0046488,GO:0052742
LG11g144	GO:0006468,GO:0005524,GO:0004672
LG11g145	GO:0022857,GO:0055085,GO:0016020
LG11g15	GO:0008270,GO:0003700,GO:0006355,GO:0043565
LG11g152	GO:0005515
LG11g154	GO:0046872
LG11g159	GO:0003723
LG11g16	GO:0005515
LG11g164	GO:0005515
LG11g166	GO:0016272,GO:0051082,GO:0006457
LG11g169	GO:0019229,GO:0005576
LG11g17	GO:0016020,GO:0015293
LG11g172	GO:0004497,GO:0016705,GO:0005506,GO:0020037
LG11g173	GO:0004497,GO:0016705,GO:0005506,GO:0020037
LG11g174	GO:0006400,GO:0008176
LG11g175	GO:0046873,GO:0016020,GO:0030001
LG11g176	GO:0005184,GO:0005102
LG11g177	GO:0006778,GO:0030170,GO:0003870,GO:0005759
LG11g178	GO:0030170,GO:0009058
LG11g179	GO:0005515
LG11g18	GO:0008009,GO:0005576,GO:0006955
LG11g181	GO:0016311
LG11g185	GO:0006412,GO:0003735,GO:0005840
LG11g194	GO:0031262,GO:0000776
LG11g195	GO:0003924,GO:0005525
LG11g198	GO:0000350
LG11g199	GO:0006468,GO:0005524,GO:0004672
LG11g20	GO:0008009,GO:0005576,GO:0006955
LG11g200	GO:0006418,GO:0005524,GO:0004812,GO:0000166
LG11g201	GO:0006418,GO:0005524,GO:0004812,GO:0000166
LG11g212	GO:0005388
LG11g213	GO:0005388
LG11g214	GO:0016020
LG11g22	GO:0046907
LG11g221	GO:0016020
LG11g228	GO:0004605,GO:0032049,GO:0006355
LG11g229	GO:0004605,GO:0032049
LG11g235	GO:0005509,GO:0007155,GO:0005576
LG11g236	GO:0008140,GO:0051289
LG11g237	GO:0005515
LG11g238	GO:0003676,GO:0005524
LG11g240	GO:0003924,GO:0005525
LG11g241	GO:0007165,GO:0004114
LG11g252	GO:0008083
LG11g254	GO:0005737
LG11g258	GO:0008083
LG11g26	GO:0006508,GO:0031012,GO:0008270,GO:0004222
LG11g262	GO:0016055,GO:0007411,GO:0005576
LG11g263	GO:0015937,GO:0005524
LG11g264	GO:0003924,GO:0005525
LG11g267	GO:0003824,GO:0051536,GO:0051539,GO:0035596
LG11g268	GO:0008289
LG11g27	GO:0006468,GO:0005524,GO:0004672
LG11g271	GO:0003755
LG11g272	GO:0008168,GO:0016706
LG11g274	GO:0005975,GO:0038166
LG11g275	GO:0006364,GO:0019843
LG11g277	GO:0004531,GO:0006259
LG11g278	GO:0004531,GO:0006259
LG11g280	GO:0006468,GO:0005524,GO:0004672,GO:0005515
LG11g281	GO:0006468,GO:0005524,GO:0004672
LG11g282	GO:0036211
LG11g29	GO:0005882
LG11g293	GO:0004930,GO:0016020,GO:0007186,GO:0030246
LG11g295	GO:0004930,GO:0016020,GO:0007186
LG11g299	GO:0008270,GO:0003700,GO:0006355,GO:0043565
LG11g3	GO:0051536
LG11g301	GO:0000213,GO:0006388
LG11g303	GO:0046872
LG11g304	GO:0006468,GO:0005524,GO:0004672,GO:0007165
LG11g305	GO:0008270,GO:0003676
LG11g306	GO:0005096
LG11g31	GO:0005525
LG11g310	GO:0005201,GO:0005515
LG11g313	GO:0005975
LG11g32	GO:0005525
LG11g320	GO:0008083
LG11g322	GO:0007186,GO:0016020,GO:0004930
LG11g323	GO:0006468,GO:0005524,GO:0004672
LG11g327	GO:0004930,GO:0007186,GO:0016020
LG11g33	GO:0030151,GO:0016491
LG11g330	GO:0008237,GO:0008270
LG11g334	GO:0008168,GO:0016706,GO:0005515
LG11g335	GO:0046873,GO:0016020,GO:0030001,GO:0055085
LG11g336	GO:0016020,GO:0015293
LG11g337	GO:0003723
LG11g338	GO:0006468,GO:0005524,GO:0004672
LG11g34	GO:0005515
LG11g344	GO:0016020
LG11g348	GO:0006468,GO:0005524,GO:0004672
LG11g349	GO:0005524,GO:0016887,GO:0140359,GO:0055085,GO:0016020
LG11g35	GO:0007200,GO:0004143,GO:0016301
LG11g351	GO:0003779
LG11g353	GO:0006468,GO:0005524,GO:0004672
LG11g356	GO:0016887,GO:0005524
LG11g357	GO:0005515
LG11g369	GO:0005515
LG11g370	GO:0019905
LG11g371	GO:0005524,GO:0003678,GO:0003677
LG11g372	GO:0005524,GO:0016818,GO:0004386,GO:0006139,GO:0003676
LG11g373	GO:0003676
LG11g375	GO:0016020,GO:0006811,GO:0005230
LG11g377	GO:0007186,GO:0016020,GO:0004930
LG11g380	GO:0046872
LG11g381	GO:0009922,GO:0016020
LG11g384	GO:0006468,GO:0005524,GO:0004672
LG11g385	GO:0006468,GO:0005524,GO:0004672
LG11g388	GO:0005524,GO:0046034,GO:1902600
LG11g390	GO:0005524,GO:0016887,GO:0140359,GO:0055085,GO:0016020
LG11g392	GO:0006468,GO:0005524,GO:0004672,GO:0004674,GO:0000287
LG11g393	GO:0005515
LG11g399	GO:0005515
LG11g404	GO:0016020,GO:0015276
LG11g406	GO:0016592
LG11g41	GO:0003712,GO:0005634,GO:0006355,GO:0045892
LG11g410	GO:0008360,GO:0016020
LG11g412	GO:0022857,GO:0055085
LG11g420	GO:0005840,GO:0006412,GO:0003735
LG11g426	GO:0004356
LG11g427	GO:0005515
LG11g436	GO:0003723
LG11g437	GO:0005515,GO:0008237,GO:0008233
LG11g438	GO:0003700,GO:0045893
LG11g440	GO:0016020,GO:0006820,GO:0008509
LG11g442	GO:0005085
LG11g443	GO:0005085
LG11g46	GO:0031267,GO:0006886,GO:0005515
LG11g464	GO:0005515
LG11g468	GO:0006813,GO:0016020,GO:0015269
LG11g469	GO:0005885,GO:0015629,GO:0034314,GO:0030041
LG11g470	GO:0003697,GO:0006974,GO:0106300
LG11g471	GO:0003924,GO:0005525
LG11g473	GO:0005515
LG11g474	GO:0005515
LG11g475	GO:0003824
LG11g480	GO:0016757
LG11g482	GO:0045116,GO:0019781
LG11g484	GO:0003779
LG11g485	GO:0003723,GO:0009982,GO:0001522,GO:0009451
LG11g488	GO:0002062,GO:0035988,GO:0005634,GO:0042246
LG11g491	GO:0006468,GO:0005524,GO:0004672,GO:0005515,GO:0006355,GO:0005634,GO:0004674
LG11g493	GO:0005085,GO:0046872
LG11g494	GO:0006468,GO:0005524,GO:0004672
LG11g495	GO:0006351
LG11g496	GO:0005515
LG11g499	GO:0006355,GO:0005634,GO:0016922,GO:0003713
LG11g5	GO:0003723
LG11g50	GO:0004725,GO:0006470
LG11g500	GO:0046983
LG11g501	GO:0006000,GO:0003873,GO:0005524
LG11g503	GO:0005515
LG11g505	GO:0005515
LG11g506	GO:0007186,GO:0016020,GO:0004930
LG11g508	GO:0004222,GO:0006508
LG11g513	GO:0008270
LG11g514	GO:0022857,GO:0055085,GO:0016020
LG11g517	GO:0000445,GO:0006397
LG11g518	GO:0016020
LG11g523	GO:0038023,GO:0016020
LG11g524	GO:0038023,GO:0016020
LG11g532	GO:0007156,GO:0005509,GO:0016020
LG11g534	GO:0006351,GO:0005669,GO:0006352
LG11g535	GO:0016020
LG11g536	GO:0005515
LG11g537	GO:0005515
